ext_id,card_name,set,card_type,mechanic,status,wp,decision,handler
fear-villain-mighty-the-hawkeye,Hawkeye,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-iron-fist,Iron Fist,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-ms-marvel,Ms. Marvel,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-red-she-hulk,Red She-Hulk,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-spider-man,Spider-Man,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-wolverine,Wolverine,fear,villain,(unmarked),unmarked,,,
ff04-villain-heralds-of-galactus-firelord,Firelord,ff04,villain,(unmarked),unmarked,,,
ff04-villain-subterranea-giganto,Giganto,ff04,villain,(unmarked),unmarked,,,
ff04-villain-subterranea-megataur,Megataur,ff04,villain,(unmarked),unmarked,,,
ff04-villain-subterranea-moloids,Moloids,ff04,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
ff04-villain-heralds-of-galactus-morg,Morg,ff04,villain,(unmarked),unmarked,,,
ff04-villain-subterranea-raktar-the-molan-king,Ra'ktar the Molan King,ff04,villain,(unmarked),unmarked,,,
ff04-villain-heralds-of-galactus-stardust,Stardust,ff04,villain,(unmarked),unmarked,,,
ff04-villain-heralds-of-galactus-terrax-the-tamer,Terrax the Tamer,ff04,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-captain-atlas,Captain Atlas,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-demon-druid,Demon Druid,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-dr-minerva,Dr. Minerva,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-korath-the-pursuer,Korath the Pursuer,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-mind-gem,Mind Gem,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-power-gem,Power Gem,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-reality-gem,Reality Gem,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-ronan-the-accuser,Ronan the Accuser,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-shatterax,Shatterax,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-soul-gem,Soul Gem,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-space-gem,Space Gem,gotg,villain,(unmarked),unmarked,,,
gotg-villain-kree-starforce-supremor,Supremor,gotg,villain,(unmarked),unmarked,,,
gotg-villain-infinity-gems-time-gem,Time Gem,gotg,villain,(unmarked),unmarked,,,
mdns-villain-fallen-atrocity,Atrocity,mdns,villain,(unmarked),unmarked,,,
mdns-villain-lilin-blackout,Blackout,mdns,villain,(unmarked),unmarked,,,
mdns-villain-lilin-meatmarket,Meatmarket,mdns,villain,(unmarked),unmarked,,,
mdns-villain-fallen-metarchus,Metarchus,mdns,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
mdns-villain-lilin-outcast,Outcast,mdns,villain,(unmarked),unmarked,,,
mdns-villain-fallen-patriarch,Patriarch,mdns,villain,(unmarked),unmarked,,,
mdns-villain-fallen-salom-sorceress-supreme,"Salomé, Sorceress Supreme",mdns,villain,(unmarked),unmarked,,,
mdns-villain-lilin-sister-nil,Sister Nil,mdns,villain,(unmarked),unmarked,,,
mdns-villain-lilin-skinner,Skinner,mdns,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
mgtg-villain-followers-of-ronan-exolon-attendants,Exolon Attendants,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-exolon-monks,Exolon Monks,mgtg,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
mgtg-villain-ravagers-gef,Gef,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-korath-the-pursuer,Korath the Pursuer,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-koraths-disrupter-rifle,Korath's Disrupter Rifle,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-kraglin-obfonteri,Kraglin Obfonteri,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-nebula,Nebula,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-ravager-starship-eclector,Ravager Starship “Eclector“,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-sakaaran-mercenaries,Sakaaran Mercenaries,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-scavenged-blade,Scavenged Blade,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-taserface,Taserface,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-the-orb,The Orb,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-tullk,Tullk,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-yaka-arrow,Yaka Arrow,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-ravagers-yondu-udonta,Yondu Udonta,mgtg,villain,(unmarked),unmarked,,,
mgtg-villain-followers-of-ronan-the-dark-aster-flagship,“The Dark Aster“ Flagship,mgtg,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-chitauri-gorilla,Chitauri Gorilla,msis,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
msis-villain-children-of-thanos-corvus-glaive,Corvus Glaive,msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-cull-obsidian,Cull Obsidian,msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-endless-armies-of-chitauri,Endless Armies of Chitauri,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-nebula-stone-seeker,"Nebula, Stone Seeker",msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-outrider-dropships,Outrider Dropships,msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-outrider-threshers,Outrider Threshers,msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-outriders,Outriders,msis,villain,(unmarked),unmarked,,,
msis-villain-children-of-thanos-proxima-midnight,Proxima Midnight,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-stonekeeper,Stonekeeper,msis,villain,koHeroEachPlayer,executable,WP-189,D-18901,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
msis-villain-infinity-stones-the-mind-stone,The Mind Stone,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-the-power-stone,The Power Stone,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-the-reality-stone,The Reality Stone,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-the-soul-stone,The Soul Stone,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-the-space-stone,The Space Stone,msis,villain,(unmarked),unmarked,,,
msis-villain-infinity-stones-the-time-stone,The Time Stone,msis,villain,(unmarked),unmarked,,,
msmc-villain-reavers-bonebreaker,Bonebreaker,msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-cameron-hodge,Cameron Hodge,msmc,villain,(unmarked),unmarked,,,
msmc-villain-reavers-donald-pierce,Donald Pierce,msmc,villain,(unmarked),unmarked,,,
msmc-villain-acolytes-frenzy,Frenzy,msmc,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
msmc-villain-clan-yashida-gorgon,Gorgon,msmc,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
msmc-villain-purifiers-leper-queen,Leper Queen,msmc,villain,(unmarked),unmarked,,,
msmc-villain-clan-yashida-lord-shingen,Lord Shingen,msmc,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
henchman-mr-sinister-clones,Mr. Sinister Clones,msmc,henchman,(unmarked),unmarked,,,
msmc-villain-purifiers-predator-x-covert,Predator X (Covert),msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-predator-x-instinct,Predator X (Instinct),msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-predator-x-ranged,Predator X (Ranged),msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-predator-x-strength,Predator X (Strength),msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-predator-x-tech,Predator X (Tech),msmc,villain,(unmarked),unmarked,,,
msmc-villain-reavers-pretty-boy,Pretty Boy,msmc,villain,(unmarked),unmarked,,,
msmc-villain-acolytes-random,Random,msmc,villain,(unmarked),unmarked,,,
msmc-villain-purifiers-reverend-william-stryker,Reverend William Stryker,msmc,villain,(unmarked),unmarked,,,
msmc-villain-clan-yashida-scarlet-samurai,Scarlet Samurai,msmc,villain,(unmarked),unmarked,,,
henchman-sentinel-squad-o-n-e,Sentinel Squad O∗N∗E∗,msmc,henchman,(unmarked),unmarked,,,
msmc-villain-clan-yashida-silver-samurai,Silver Samurai,msmc,villain,(unmarked),unmarked,,,
msmc-villain-reavers-skullbuster,Skullbuster,msmc,villain,(unmarked),unmarked,,,
msmc-villain-acolytes-tempo,Tempo,msmc,villain,(unmarked),unmarked,,,
msmc-villain-acolytes-unuscione,Unuscione,msmc,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
msp1-villain-gamma-hunters-abomination-raging-monster,"Abomination, Raging Monster",msp1,villain,(unmarked),unmarked,,,
msp1-villain-hydra-arnim-zola,Arnim Zola,msp1,villain,(unmarked),unmarked,,,
msp1-villain-chitauri-chitauri-chariot,Chitauri Chariot,msp1,villain,(unmarked),unmarked,,,
msp1-villain-chitauri-chitauri-commander,Chitauri Commander,msp1,villain,(unmarked),unmarked,,,
msp1-villain-chitauri-chitauri-leviathan,Chitauri Leviathan,msp1,villain,(unmarked),unmarked,,,
msp1-villain-chitauri-chitauri-soldier,Chitauri Soldier,msp1,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
msp1-villain-enemies-of-asgard-destroyer,Destroyer,msp1,villain,koHeroEachPlayerMag2,executable,WP-202,D-20201,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
msp1-villain-hydra-endless-armies-of-hydra,Endless Armies of HYDRA,msp1,villain,(unmarked),unmarked,,,
msp1-villain-enemies-of-asgard-enslaved-hawkeye,Enslaved Hawkeye,msp1,villain,(unmarked),unmarked,,,
msp1-villain-gamma-hunters-fighter-jet,Fighter Jet,msp1,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
msp1-villain-enemies-of-asgard-frost-giant,Frost Giant,msp1,villain,(unmarked),unmarked,,,
msp1-villain-hydra-hydra-motorcycle-squad,HYDRA Motorcycle Squad,msp1,villain,(unmarked),unmarked,,,
henchman-hydra-pilots,HYDRA Pilots,msp1,henchman,(unmarked),unmarked,,,
henchman-hydra-spies,HYDRA Spies,msp1,henchman,(unmarked),unmarked,,,
msp1-villain-hydra-hydra-tank,HYDRA Tank,msp1,villain,(unmarked),unmarked,,,
henchman-hammer-drone-army,Hammer Drone Army,msp1,henchman,(unmarked),unmarked,,,
msp1-villain-iron-foes-hammer-drone-marine,Hammer Drone Marine,msp1,villain,(unmarked),unmarked,,,
msp1-villain-iron-foes-justin-hammer,Justin Hammer,msp1,villain,(unmarked),unmarked,,,
msp1-villain-enemies-of-asgard-laufey-frost-giant-king,"Laufey, Frost Giant King",msp1,villain,(unmarked),unmarked,,,
msp1-villain-gamma-hunters-lt-gen-thunderbolt-ross,Lt. Gen “Thunderbolt“ Ross,msp1,villain,(unmarked),unmarked,,,
msp1-villain-iron-foes-raza-ten-rings-leader,"Raza, Ten Rings Leader",msp1,villain,(unmarked),unmarked,,,
msp1-villain-gamma-hunters-sonic-cannon,Sonic Cannon,msp1,villain,(unmarked),unmarked,,,
henchman-ten-rings-fanatics,Ten Rings Fanatics,msp1,henchman,(unmarked),unmarked,,,
msp1-villain-iron-foes-whiplash,Whiplash,msp1,villain,(unmarked),unmarked,,,
nmut-villain-hellions-catseye,Catseye,nmut,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
nmut-villain-demons-of-limbo-crotus,Crotus,nmut,villain,(unmarked),unmarked,,,
nmut-villain-demons-of-limbo-demon-bear,Demon Bear,nmut,villain,(unmarked),unmarked,,,
nmut-villain-hellions-empath,Empath,nmut,villain,(unmarked),unmarked,,,
nmut-villain-hellions-jetstream,Jetstream,nmut,villain,(unmarked),unmarked,,,
nmut-villain-demons-of-limbo-nastirh,N'astirh,nmut,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
nmut-villain-hellions-roulette,Roulette,nmut,villain,(unmarked),unmarked,,,
nmut-villain-demons-of-limbo-sym,S'ym,nmut,villain,(unmarked),unmarked,,,
nmut-villain-hellions-tarot,Tarot,nmut,villain,(unmarked),unmarked,,,
nmut-villain-hellions-thunderbird,Thunderbird,nmut,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
nmut-villain-demons-of-limbo-witchfire,Witchfire,nmut,villain,(unmarked),unmarked,,,
noir-villain-x-men-noir-bobby-iceman-drake,Bobby “Iceman“ Drake,noir,villain,(unmarked),unmarked,,,
noir-villain-x-men-noir-comrade-rasputin-steel-wall,"Comrade Rasputin, Steel Wall",noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-fancy-dan,Fancy Dan,noir,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
noir-villain-x-men-noir-henry-beast-mccoy,Henry “Beast“ McCoy,noir,villain,(unmarked),unmarked,,,
noir-villain-x-men-noir-jean-grey-noir,Jean Grey Noir,noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-kraven-animal-trainer,"Kraven, Animal Trainer",noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-montana,Montana,noir,villain,(unmarked),unmarked,,,
noir-villain-x-men-noir-ororo-munroe-storm-tossed,"Ororo Munroe, Storm-Tossed",noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-ox,Ox,noir,villain,(unmarked),unmarked,,,
noir-villain-x-men-noir-scott-cyclops-summers,Scott “Cyclops“ Summers,noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-the-chameleon,The Chameleon,noir,villain,(unmarked),unmarked,,,
noir-villain-goblins-freak-show-vulture-carnival-cannibal,"Vulture, Carnival Cannibal",noir,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
noir-villain-x-men-noir-warden-emma-frost,Warden Emma Frost,noir,villain,(unmarked),unmarked,,,
pttr-villain-maximum-carnage-carrion,Carrion,pttr,villain,(unmarked),unmarked,,,
pttr-villain-sinister-six-chameleon,Chameleon,pttr,villain,(unmarked),unmarked,,,
pttr-villain-maximum-carnage-demogoblin,Demogoblin,pttr,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
pttr-villain-maximum-carnage-doppelganger,Doppelganger,pttr,villain,(unmarked),unmarked,,,
pttr-villain-sinister-six-hobgoblin,Hobgoblin,pttr,villain,(unmarked),unmarked,,,
pttr-villain-sinister-six-kraven-the-hunter,Kraven the Hunter,pttr,villain,(unmarked),unmarked,,,
pttr-villain-sinister-six-sandman,Sandman,pttr,villain,(unmarked),unmarked,,,
pttr-villain-sinister-six-shocker,Shocker,pttr,villain,(unmarked),unmarked,,,
pttr-villain-maximum-carnage-shriek,Shriek,pttr,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
pttr-villain-sinister-six-vulture,Vulture,pttr,villain,(unmarked),unmarked,,,
rlmk-villain-shiar-imperial-elite-gladiator,Gladiator,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-inhuman-rebellion-lash,Lash,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-inhuman-rebellion-lineage,Lineage,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-shiar-imperial-elite-mentor,Mentor,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-inhuman-rebellion-omega,Omega,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-shiar-imperial-elite-plutonia,Plutonia,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-shiar-imperial-elite-starbolt,Starbolt,rlmk,villain,(unmarked),unmarked,,,
rlmk-villain-inhuman-rebellion-the-unspoken,The Unspoken,rlmk,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-ares,Ares,rvlt,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
rvlt-villain-army-of-evil-blackout,Blackout,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-hoods-gang-cancer,Cancer,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-captain-marvel-noh-varr,Captain Marvel (Noh-Varr),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-carnival-of-wonders,Carnival of Wonders,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-hoods-gang-chemistro,Chemistro,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-army-of-evil-count-nefaria,Count Nefaria,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-dark-hawkeye-bullseye,Dark Hawkeye (Bullseye),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-dark-ms-marvel-moonnstone,Dark Ms. Marvel (Moonnstone),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-dark-spider-man-scorpion,Dark Spider-Man (Scorpion),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-dark-wolverine-daken,Dark Wolverine (Daken),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-army-of-evil-dome-of-darkforce,Dome of Darkforce,rvlt,villain,(unmarked),unmarked,,,
henchman-hydra-base,HYDRA Base,rvlt,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
rvlt-villain-army-of-evil-klaw,Klaw,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-laser-maze,Laser Maze,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-living-laser,Living Laser,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-mbaku,M'Baku,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-hoods-gang-madam-masque,Madam Masque,rvlt,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
rvlt-villain-army-of-evil-mister-hyde,Mister Hyde,rvlt,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
rvlt-villain-lethal-legion-power-man-erik-josten,Power Man (Erik Josten),rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-dark-avengers-sentry,Sentry,rvlt,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
rvlt-villain-dark-avengers-sentrys-watchtower,Sentry's Watchtower,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-swordsman,Swordsman,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-hoods-gang-the-brothers-grimm,The Brothers Grimm,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-hoods-gang-the-dark-dimension,The Dark Dimension,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-white-gorilla-cult,White Gorilla Cult,rvlt,villain,(unmarked),unmarked,,,
rvlt-villain-lethal-legion-the-raft-prison,“The Raft“ Prison,rvlt,villain,(unmarked),unmarked,,,
shld-villain-hydra-elite-crossbones,Crossbones,shld,villain,(unmarked),unmarked,,,
shld-villain-hydra-elite-gorgon,Gorgon,shld,villain,(unmarked),unmarked,,,
shld-villain-a-i-m-hydra-offshoot-graviton,Graviton,shld,villain,(unmarked),unmarked,,,
shld-villain-hydra-elite-growing-man,Growing Man,shld,villain,(unmarked),unmarked,,,
shld-villain-hydra-elite-hive,Hive,shld,villain,(unmarked),unmarked,,,
shld-villain-a-i-m-hydra-offshoot-mentallo,Mentallo,shld,villain,(unmarked),unmarked,,,
shld-villain-a-i-m-hydra-offshoot-superia,Superia,shld,villain,(unmarked),unmarked,,,
shld-villain-a-i-m-hydra-offshoot-taskmaster,Taskmaster,shld,villain,(unmarked),unmarked,,,
smhc-villain-vulture-tech-chitauri-weapon-assault,Chitauri Weapon Assault,smhc,villain,(unmarked),unmarked,,,
smhc-villain-vulture-tech-high-tech-helmet,High Tech Helmet,smhc,villain,(unmarked),unmarked,,,
smhc-villain-salvagers-hybrid-alien-tech,Hybrid Alien Tech,smhc,villain,(unmarked),unmarked,,,
smhc-villain-vulture-tech-razor-talons,Razor Talons,smhc,villain,(unmarked),unmarked,,,
smhc-villain-salvagers-shocker-1,Shocker #1,smhc,villain,(unmarked),unmarked,,,
smhc-villain-salvagers-shocker-2,Shocker #2,smhc,villain,(unmarked),unmarked,,,
smhc-villain-salvagers-tinkerer,Tinkerer,smhc,villain,(unmarked),unmarked,,,
smhc-villain-vulture-tech-turbine-powered,Turbine Powered,smhc,villain,(unmarked),unmarked,,,
ssw1-villain-domain-of-apocalypse-apocalyptic-blink,Apocalyptic Blink,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-domain-of-apocalypse-apocalyptic-magneto,Apocalyptic Magneto,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-domain-of-apocalypse-apocalyptic-rogue,Apocalyptic Rogue,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-domain-of-apocalypse-apocalyptic-weapon-x,Apocalyptic Weapon X,ssw1,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
ssw1-villain-sentinel-territories-colossus-of-future-past,Colossus of Future Past,ssw1,villain,(unmarked),unmarked,,,
henchman-ghost-racers,Ghost Racers,ssw1,henchman,(unmarked),unmarked,,,
ssw1-villain-limbo-inferno-colossus,Inferno Colossus,ssw1,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
ssw1-villain-limbo-inferno-cyclops,Inferno Cyclops,ssw1,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
ssw1-villain-limbo-inferno-darkchilde,Inferno Darkchilde,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-limbo-inferno-nightcrawler,Inferno Nightcrawler,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-sentinel-territories-kate-pryde-of-future-past,Kate Pryde of Future Past,ssw1,villain,(unmarked),unmarked,,,
henchman-m-o-d-o-k-s,M.O.D.O.K.s,ssw1,henchman,(unmarked),unmarked,,,
ssw1-villain-sentinel-territories-rachel-summers-of-future-past,Rachel Summers of Future Past,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-wasteland-the-hulk-gang,The Hulk Gang,ssw1,villain,(unmarked),unmarked,,,
henchman-thor-corps,Thor Corps,ssw1,henchman,(unmarked),unmarked,,,
ssw1-villain-manhattan-earth-1610-ultimate-captain-america,Ultimate Captain America,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-manhattan-earth-1610-ultimate-captain-marvel,Ultimate Captain Marvel,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-manhattan-earth-1610-ultimate-thor,Ultimate Thor,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-manhattan-earth-1610-ultimate-wasp,Ultimate Wasp,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-wasteland-wasteland-hawkeye,Wasteland Hawkeye,ssw1,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
ssw1-villain-wasteland-wasteland-kingpin,Wasteland Kingpin,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-wasteland-wasteland-spider-girl,Wasteland Spider-Girl,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-sentinel-territories-wolverine-of-future-past,Wolverine of Future Past,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-baron-zemo,Zombie Baron Zemo,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-loki,Zombie Loki,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-m-o-d-o-k,Zombie M.O.D.O.K.,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-madame-hydra,Zombie Madame Hydra,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-mr-sinister,Zombie Mr. Sinister,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-mysterio,Zombie Mysterio,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-thanos,Zombie Thanos,ssw1,villain,(unmarked),unmarked,,,
ssw1-villain-deadlands-the-zombie-venom,Zombie Venom,ssw1,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
ssw2-villain-x-men-92-92-beast,'92 Beast,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-x-men-92-92-jubilee,'92 Jubilee,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-x-men-92-92-professor-x,'92 Professor X,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-x-men-92-92-wolverine,'92 Wolverine,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-guardians-of-knowhere-angela,Angela,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-monster-metropolis-bug-shiklahs-dragon,"Bug, Shiklah's Dragon",ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-deadpools-secret-secret-wars-deadpool,Deadpool,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-utopolis-doctor-spectrum,Doctor Spectrum,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-deadpools-secret-secret-wars-doop,Doop,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-guardians-of-knowhere-drax-the-destroyer,Drax the Destroyer,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-guardians-of-knowhere-gamora,Gamora,ssw2,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
ssw2-villain-monster-metropolis-ghost-deadpool,Ghost Deadpool,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-guardians-of-knowhere-groot,Groot,ssw2,villain,(unmarked),unmarked,,,
ssw2-villain-deadpools-secret-secret-wars-howard-the-duck,Howard the Duck,ssw2,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
henchman-khonshu-guardians,Khonshu Guardians,ssw2,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
ssw2-villain-kun-lun-laughing-skull,Laughing Skull,ssw2,villain,(unmarked),unmarked,,,
